bankId,product,customer,ratePercent,minDays,maxDays,tenureLabel,minAmount,maxAmount,amountLabel,scheme,sourceUrl,effectiveDate
bob,FD,SENIOR,,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,FD,GENERAL,,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,FD,SENIOR,,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,FD,GENERAL,,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,FD,SENIOR,,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,FD,GENERAL,,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,FD,SENIOR,,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,FD,GENERAL,,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,FD,SENIOR,,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,FD,GENERAL,,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,FD,SENIOR,,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,FD,GENERAL,,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,FD,SENIOR,,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://www.bankofbaroda.in,
bob,RD,GENERAL,,365,729,1 year to < 2 years,0,,Any amount,,https://www.bankofbaroda.in,
bob,RD,SENIOR,,365,729,1 year to < 2 years,0,,Any amount,,https://www.bankofbaroda.in,
bob,RD,GENERAL,,730,1094,2 years to < 3 years,0,,Any amount,,https://www.bankofbaroda.in,
bob,RD,SENIOR,,730,1094,2 years to < 3 years,0,,Any amount,,https://www.bankofbaroda.in,
bob,RD,GENERAL,,1095,1824,3 years to < 5 years,0,,Any amount,,https://www.bankofbaroda.in,
bob,RD,SENIOR,,1095,1824,3 years to < 5 years,0,,Any amount,,https://www.bankofbaroda.in,
bob,RD,GENERAL,,1825,3650,5 years to 10 years,0,,Any amount,,https://www.bankofbaroda.in,
bob,RD,SENIOR,,1825,3650,5 years to 10 years,0,,Any amount,,https://www.bankofbaroda.in,
bob,SAVINGS,GENERAL,,0,,Any tenure,0,10000000,Below ₹1 crore,,https://www.bankofbaroda.in,
